"data_source","data_source_short","pcr_gene_target","rpho_region","sample_date","ww_aggregate","prop_regional_pop","prop_sewersheds","max_date","Very_Low_Threshold","Low_Threshold","Medium_Threshold","High_Threshold","level"
"All Laboratories","all","infa","Bay Area",2026-04-09,2.32117448009373,NA,0.935483870967742,2026-04-13,0.890843108769393,6.9587370427157,13.026630976662,19.0945249106083,"Low"
"All Laboratories","all","h5","Bay Area",2026-04-09,0,NA,0.935483870967742,2026-04-13,0.890843108769393,6.9587370427157,13.026630976662,19.0945249106083,"Very Low"
"All Laboratories","all","infb","Bay Area",2026-04-09,2.90442579304707,NA,1,2026-04-13,0.890843108769393,6.9587370427157,13.026630976662,19.0945249106083,"Low"
"All Laboratories","all","rsv","Bay Area",2026-04-09,3.31830633268708,NA,0.935483870967742,2026-04-13,0.710665290053333,5.36071537965033,10.0107654692473,14.6608155588443,"Low"
"All Laboratories","all","n","Bay Area",2026-04-09,0.288570216066549,NA,0.935483870967742,2026-04-13,2.51124877427857,9.48210099127462,16.4529532082707,23.4238054252667,"Very Low"
"All Laboratories","all","infa","Bay Area",2026-04-08,2.19349031867525,NA,0.935483870967742,2026-04-13,0.890843108769393,6.9587370427157,13.026630976662,19.0945249106083,"Low"
"All Laboratories","all","h5","Bay Area",2026-04-08,0,NA,0.935483870967742,2026-04-13,0.890843108769393,6.9587370427157,13.026630976662,19.0945249106083,"Very Low"
"All Laboratories","all","infb","Bay Area",2026-04-08,2.90966924609702,NA,1,2026-04-13,0.890843108769393,6.9587370427157,13.026630976662,19.0945249106083,"Low"
"All Laboratories","all","rsv","Bay Area",2026-04-08,3.40549788779758,NA,0.935483870967742,2026-04-13,0.710665290053333,5.36071537965033,10.0107654692473,14.6608155588443,"Low"
"All Laboratories","all","n","Bay Area",2026-04-08,0.297244869549157,NA,0.935483870967742,2026-04-13,2.51124877427857,9.48210099127462,16.4529532082707,23.4238054252667,"Very Low"
